epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4171,1.25963,3.43057,1.15812,0.68388,1,0.98441,0.73038,0.89829,1.15722,0.93816,0.00029997,0.00029997,0.00029997
2,24.5495,0.86154,1.0869,0.94187,0.95373,0.72338,0.99351,0.78463,0.83059,0.66265,0.92945,0.000595927,0.000595927,0.000595927
3,33.7735,0.86794,0.78935,0.93541,0.72914,0.72512,0.7451,0.58428,0.80972,0.6875,0.9394,0.000876485,0.000876485,0.000876485
4,41.3217,0.87773,0.73145,0.94668,0.68734,0.74305,0.7451,0.60901,0.7835,0.62991,0.94436,0.00102851,0.00102851,0.00102851
5,50.3341,0.83902,0.69109,0.92972,0.69605,0.74074,0.73719,0.6155,0.74044,0.70591,0.91395,0.00100101,0.00100101,0.00100101
6,59.2842,0.82732,0.57658,0.94839,0.71213,0.7422,0.74625,0.61121,0.77541,0.70516,0.97605,0.000973514,0.000973514,0.000973514
7,67.0909,0.79082,0.5463,0.92866,0.70961,0.75,0.74625,0.63594,0.64514,0.539,0.893,0.000946016,0.000946016,0.000946016
8,75.901,0.78697,0.52418,0.92317,0.98573,0.75,0.995,0.82196,0.68523,0.51488,0.91451,0.000918519,0.000918519,0.000918519
9,84.8139,0.76122,0.49747,0.91249,0.97087,0.74271,0.995,0.82546,0.69568,0.47059,0.90898,0.000891022,0.000891022,0.000891022
10,92.8303,0.76094,0.48914,0.92849,0.98745,0.75,0.995,0.85205,0.65436,0.44802,0.89678,0.000863525,0.000863525,0.000863525
11,101.738,0.73773,0.46552,0.91553,0.98783,0.74894,0.995,0.80885,0.60718,0.42545,0.87927,0.000836027,0.000836027,0.000836027
12,110.742,0.75454,0.48405,0.9178,0.98599,0.75,0.995,0.8111,0.63279,0.43095,0.88592,0.00080853,0.00080853,0.00080853
13,118.537,0.75818,0.48763,0.92445,0.99096,0.73833,0.995,0.70807,0.65651,0.43292,0.89695,0.000781033,0.000781033,0.000781033
14,127.466,0.72028,0.4678,0.9049,0.79909,1,0.995,0.8308,0.57163,0.39733,0.86866,0.000753536,0.000753536,0.000753536
15,136.322,0.73508,0.46544,0.91779,0.99502,0.75,0.995,0.76032,0.62366,0.43055,0.8883,0.000726038,0.000726038,0.000726038
16,144.476,0.74,0.43982,0.89611,0.99048,0.75,0.995,0.82305,0.60137,0.42827,0.86529,0.000698541,0.000698541,0.000698541
17,153.906,0.70783,0.43482,0.90628,0.98059,0.74074,0.99473,0.82046,0.64427,0.42467,0.88891,0.000671044,0.000671044,0.000671044
18,163.107,0.71657,0.42939,0.91512,0.98413,0.74905,0.995,0.84083,0.62862,0.44136,0.88023,0.000643547,0.000643547,0.000643547
19,171.12,0.68663,0.40987,0.8835,0.98821,0.75,0.87062,0.7341,0.60756,0.4191,0.86463,0.000616049,0.000616049,0.000616049
20,180.3,0.71977,0.41438,0.89794,0.983,0.75,0.995,0.84741,0.60694,0.38873,0.86307,0.000588552,0.000588552,0.000588552
21,189.377,0.69134,0.39558,0.87651,0.99271,0.75,0.995,0.8347,0.63032,0.3775,0.86147,0.000561055,0.000561055,0.000561055
22,197.128,0.69386,0.39304,0.89979,0.96699,1,0.995,0.83203,0.60965,0.36366,0.86154,0.000533558,0.000533558,0.000533558
23,206.216,0.68496,0.38975,0.89028,0.94797,1,0.995,0.82011,0.59601,0.34993,0.85708,0.00050606,0.00050606,0.00050606
